ClienteID,name,email,cellphone,state,city
45,Pérola Oliveira,nickolas@abshire.test,(53) 91767-8941,Paraná,Curitiba
46,Pérola Ferraço,paris.koepp@wiza-ernser.example,(15) 98203-2742,São Paulo,Campinas
47,Sara Fontes,hazel.hayes@dickinson.example,(43) 95864-1316,Goiás,Rio Verde
48,Sr. Vinícius Vasques,jeanna.nikolaus@torp.test,(40) 95796-4791,Minas Gerais,Contagem
49,Bruno Peixoto,bruno_reinger@emard.test,(37) 95668-7322,Rio de Janeiro,Campos dos Goytacazes
50,Maria Laura do Prado,delphine@doyle-wiegand.test,(94) 91927-9256,Minas Gerais,Contagem
51,Gúbio Vidal Filho,lashandra@stamm-bins.test,(84) 94622-8133,Rio de Janeiro,Volta Redonda
52,Gabriela Modesto,lana@casper.example,(35) 93866-8983,Pernambuco,Olinda
53,Sophie Pinheira,philip@von.example,(81) 99319-8936,Bahia,Feira de Santana
54,Thiago Junqueira,jeri_leffler@oconnell.example,(38) 94080-9011,Pernambuco,Petrolina
55,Vinícius da Gama,devon@mante.test,(92) 94602-9065,Goiás,Aparecida de Goiânia
56,João Miguel Filgueira,piedad.damore@frami-weimann.example,(69) 98271-0080,Minas Gerais,Belo Horizonte
57,Leonardo Quaresma,moira@schmidt-beahan.test,(29) 91740-6524,Goiás,Rio Verde
58,Maria Alice Bulhões,kira.jones@bailey.example,(49) 95176-5635,Goiás,Rio Verde
59,Sr. Salvador Barreira,sau.steuber@sipes.test,(99) 97521-5454,Pernambuco,Olinda
60,Erick Veloso,elvina_barrows@prosacco-hahn.example,(80) 96881-4732,Rio Grande do Sul,Porto Alegre
61,Ígor Farias,lindsay.gerlach@rowe.example,(47) 94269-2400,Espírito Santo,Linhares
62,Noah Reis,melvina_turcotte@padberg.example,(40) 91584-3444,Minas Gerais,Juiz de Fora
63,Djalma Álvares,russel.koepp@morissette.test,(95) 95236-8117,Minas Gerais,Juiz de Fora
64,Cecília Diegues,armand@crona-stoltenberg.example,(18) 98159-1339,Espírito Santo,Cariacica
65,Maria Júlia Raia,carolina@leuschke-reilly.test,(78) 98488-1596,Rio de Janeiro,Niterói
66,João Miguel Aguiar,ward@senger.example,(31) 93067-0695,Rio Grande do Sul,Porto Alegre
67,Ana Laura Santos,rory.hammes@mills-aufderhar.test,(49) 95201-1669,Bahia,Camaçari
68,Margarida Cabreira Jr.,eleanor@steuber.test,(36) 98082-4772,Rio de Janeiro,Rio de Janeiro
69,Pietra Barata Jr.,angelic@thompson.example,(18) 98297-7120,São Paulo,Santos
70,João Gabriel Soares,lajuana@krajcik.test,(94) 97058-8169,Paraná,Londrina
71,Ricardo Fogaça,lilly@mclaughlin.example,(73) 95810-1055,São Paulo,Ribeirão Preto
72,Luana da Bandeira,jae.hauck@tromp.test,(11) 98048-2927,São Paulo,Sorocaba
73,Luiza Bernardes,dario.stamm@gibson-davis.test,(23) 97970-4495,Paraná,Curitiba
74,Benjamin Fernandes Filho,shawanda_kohler@lind.example,(28) 92824-3109,Goiás,Goiânia
75,Tiago Munhoz,bud_koch@kuvalis.example,(87) 94026-5715,Ceará,Juazeiro do Norte
76,Mirella de Lara Filho,nerissa_keebler@champlin-cole.example,(30) 98553-7047,Bahia,Vitória da Conquista
77,Louise Laranjeira,hans@gusikowski.example,(19) 95883-5038,Espírito Santo,Cariacica
78,Bruno Lopes,moses@heller.example,(98) 96554-0342,Rio de Janeiro,Campos dos Goytacazes
79,João Felipe Marcondes,ela@fadel.example,(84) 97986-9825,Minas Gerais,Belo Horizonte
80,Luna Veloso,ehtel.blick@hauck-kutch.test,(98) 96527-8168,São Paulo,São Paulo
81,Sr. Matheus da Luz,loyd.conn@sporer.example,(44) 95376-9343,Goiás,Rio Verde
82,Sr. Ian Bouças,daron.nitzsche@bartoletti.test,(16) 94067-5501,Paraná,Londrina
83,Guilherme Braga Filho,audria.bradtke@kulas-jenkins.test,(55) 97481-9325,Pernambuco,Recife
84,Hélio da Silveira,venetta@hettinger.test,(35) 97784-7432,Ceará,Fortaleza
85,Salvador Moura,pauline@howell-mills.test,(69) 96561-7695,Paraná,Maringá
86,Daniel Carvalheira,emmett_weissnat@corwin.test,(78) 93639-4208,Minas Gerais,Betim
87,João Cardoso,kent@harris-erdman.example,(89) 95206-7838,Rio de Janeiro,Campos dos Goytacazes
88,Dra. Isis Nascimento,leigh@koepp.test,(68) 98348-7586,Bahia,Itabuna
89,Sr. Emanuel Coutinho,marguerita@lubowitz.example,(24) 97728-7845,Bahia,Camaçari
90,Tertuliano Carvalheira,forest@prohaska.test,(88) 93458-1825,Minas Gerais,Uberlândia
91,Adriana da Terra,mike.bahringer@ohara-gibson.test,(87) 93851-4199,Paraná,Ponta Grossa
92,Rafaela Gentil,parthenia@nitzsche.example,(80) 97734-6353,Goiás,Rio Verde
93,João Victor Videira,santa_skiles@hills.example,(47) 94129-3187,Espírito Santo,Cariacica
94,Maria Júlia Caseira,carlo_stiedemann@ankunding.test,(33) 93699-3476,Pernambuco,Jaboatão dos Guararapes
95,Maria Cecília da Silveira,chong@walter-prohaska.test,(96) 99927-2137,Ceará,Sobral
96,Igor Goulart,jimmy@mertz.example,(18) 96180-7937,Espírito Santo,Vitória
97,Vitor Araújo,sean_greenfelder@kuhn.example,(47) 95981-8595,Ceará,Fortaleza
98,Carolina Rezende,chantay@tremblay.example,(36) 93808-4756,Goiás,Aparecida de Goiânia
99,Sr. Kauê Viveiros,mohammed@dibbert-schultz.example,(21) 99357-2249,São Paulo,Sorocaba
100,Arthur Corrêa,hipolito@moen.test,(73) 93077-6852,Espírito Santo,Serra
